M,N,K,Triton
256.000000,256.000000,256.000000,3.640889
384.000000,384.000000,384.000000,10.053818
512.000000,512.000000,512.000000,18.724571
640.000000,640.000000,640.000000,24.380953
768.000000,768.000000,768.000000,28.539871
896.000000,896.000000,896.000000,39.025776
1024.000000,1024.000000,1024.000000,42.799022
1152.000000,1152.000000,1152.000000,45.242181
1280.000000,1280.000000,1280.000000,53.194807
1408.000000,1408.000000,1408.000000,50.951178
1536.000000,1536.000000,1536.000000,50.556342
1664.000000,1664.000000,1664.000000,57.685335
1792.000000,1792.000000,1792.000000,57.052913
1920.000000,1920.000000,1920.000000,57.600001
2048.000000,2048.000000,2048.000000,57.456217
2176.000000,2176.000000,2176.000000,57.993223
2304.000000,2304.000000,2304.000000,58.982400
2432.000000,2432.000000,2432.000000,60.159451
2560.000000,2560.000000,2560.000000,61.020483
2688.000000,2688.000000,2688.000000,62.389898
2816.000000,2816.000000,2816.000000,59.827444
2944.000000,2944.000000,2944.000000,61.073570
3072.000000,3072.000000,3072.000000,63.019595
3200.000000,3200.000000,3200.000000,61.361456
3328.000000,3328.000000,3328.000000,62.929456
3456.000000,3456.000000,3456.000000,61.968922
3584.000000,3584.000000,3584.000000,61.354755
3712.000000,3712.000000,3712.000000,62.789028
3840.000000,3840.000000,3840.000000,61.886962
3968.000000,3968.000000,3968.000000,61.628252
4096.000000,4096.000000,4096.000000,61.539534
