N,Triton,Torch
256.000000,258.139845,375.351017
384.000000,383.331879,436.260320
512.000000,513.745819,529.223095
640.000000,469.751218,573.486039
768.000000,543.862291,565.683477
896.000000,514.183605,570.621098
1024.000000,564.915046,583.012243
1152.000000,552.529493,554.269053
1280.000000,603.011570,549.462356
1408.000000,556.172986,551.370324
1536.000000,575.692278,501.412478
1664.000000,614.920530,480.780088
1792.000000,592.103568,486.931375
1920.000000,573.911822,493.042450
2048.000000,562.316574,498.449195
2176.000000,488.645586,628.123740
2304.000000,18.843584,17.730180
2432.000000,41.779896,17.859099
2560.000000,42.146669,18.063712
2688.000000,38.960050,17.335412
2816.000000,39.650500,17.018533
2944.000000,40.791497,15.780614
3072.000000,40.325373,16.199552
3200.000000,37.807164,16.818706
3328.000000,39.994613,16.099370
3456.000000,41.150207,14.700536
3584.000000,36.723660,14.434584
3712.000000,39.597672,14.991440
3840.000000,39.321602,14.529976
3968.000000,39.482572,14.363440
4096.000000,37.601013,13.296773
4224.000000,41.617735,15.066377
4352.000000,19.339292,14.188172
4480.000000,45.218546,14.756942
4608.000000,45.543361,14.857033
4736.000000,48.135029,14.359328
4864.000000,47.883187,14.717112
4992.000000,40.408551,12.509972
5120.000000,41.281758,12.009236
5248.000000,39.464646,11.734750
5376.000000,39.322198,11.801930
5504.000000,40.619927,11.409471
5632.000000,41.420092,11.353979
5760.000000,40.764105,11.345841
5888.000000,41.428323,10.910656
6016.000000,42.050936,10.325129
6144.000000,38.482677,10.316162
6272.000000,42.315834,10.029684
6400.000000,19.174907,10.206065
6528.000000,43.047875,8.378966
6656.000000,37.214134,7.402924
6784.000000,35.035773,8.029293
6912.000000,37.664370,7.737855
7040.000000,36.427531,8.042460
7168.000000,36.918719,7.702178
7296.000000,36.491405,8.177940
7424.000000,35.963429,7.741271
7552.000000,36.899367,7.476649
7680.000000,27.818530,8.085274
7808.000000,37.391274,7.485874
7936.000000,34.589868,6.964267
8064.000000,38.294577,7.230260
8192.000000,38.101197,7.585953
8320.000000,41.597562,6.771711
8448.000000,20.455465,8.054584
8576.000000,44.082628,7.326490
8704.000000,41.583755,7.857359
8832.000000,40.782686,7.029224
8960.000000,38.380297,7.868708
9088.000000,45.041705,7.670513
9216.000000,40.730321,7.058519
9344.000000,40.414645,6.899044
9472.000000,40.205393,7.601544
9600.000000,38.920564,7.448086
9728.000000,40.624845,7.273951
9856.000000,39.431706,7.054408
9984.000000,38.456625,7.163167
10112.000000,37.506355,7.061838
10240.000000,39.972552,7.324177
10368.000000,44.585845,7.869637
10496.000000,21.766055,7.639879
10624.000000,41.543106,7.032123
10752.000000,37.956798,7.650968
10880.000000,41.198119,7.142036
11008.000000,49.954761,8.330913
11136.000000,37.528512,6.908055
11264.000000,31.061722,5.529022
11392.000000,41.776760,6.359361
11520.000000,34.769157,5.935659
11648.000000,32.496599,6.438360
11776.000000,624.765683,259.413193
11904.000000,581.152448,222.324527
12032.000000,602.047152,284.883419
12160.000000,630.612765,308.829408
12288.000000,597.348147,265.905375
12416.000000,594.966564,290.359795
12544.000000,598.260094,298.696034
12672.000000,616.649649,276.094361
