N,Triton,Torch
1024.000000,203.107443,267.130429
1536.000000,326.230083,317.793096
2048.000000,393.215981,313.070059
2560.000000,376.932506,341.333328
3072.000000,416.542386,361.411771
3584.000000,455.111115,375.615725
4096.000000,489.074621,360.087896
4608.000000,400.695643,362.596728
5120.000000,419.385680,351.085727
5632.000000,443.173779,324.923081
6144.000000,459.364487,317.793096
6656.000000,476.847776,308.982605
7168.000000,490.119665,308.854582
7680.000000,504.986281,302.163940
8192.000000,511.999982,302.009212
8704.000000,379.810911,302.309686
9216.000000,390.095231,300.930609
9728.000000,405.333319,303.604691
10240.000000,414.435093,307.200008
10752.000000,424.421071,303.943462
11264.000000,435.323662,302.389263
11776.000000,444.377350,306.866440
12288.000000,455.814543,306.561333
12800.000000,464.048355,302.660085
13312.000000,469.835296,304.854977
13824.000000,478.063409,307.200012
14336.000000,487.342762,306.652394
14848.000000,493.562309,304.314274
15360.000000,498.162170,306.688863
15872.000000,505.209563,308.194179
